

"Sector 13 - Forever (CLIP)", "https://soundcloud.com/sector13official/sector-13-forever-clip-1?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Sector 13"
"Arzien - Danger Zone (Original Mix)(CLICK FREE!!)", "https://soundcloud.com/wasteland-records/arzien-danger-zone-original-mixclick-free?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "\u2623Wasteland Recordings\u2623"
"Creation - Devil's House [CLIP] [Forthcoming 40oz Cult]", "https://soundcloud.com/creationofficial/creation-devils-house-clip?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Creation"
"Trampa - Hit 'Em", "https://soundcloud.com/blacklabelnsd/trampa-hit-em?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Never Say Die Black Label"
"Ranga' - Machete", "https://soundcloud.com/buygore/machete?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Buygore"
"Midnight Tyrannosaurus - Bunny Bass (CLIP)", "https://soundcloud.com/midnightasaurus/bunnybunny?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Midnight Tyrannosaurus\u2122"
"Sector 13 - Demons Exist (CLIP)", "https://soundcloud.com/sector13official/sector-13-demons-exist-clip?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Sector 13"
"Sector 13 - Darkness (CLIP)", "https://soundcloud.com/sector13official/sector-13-darkness-clip?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Sector 13"
"D-Jahsta - Crucify (OUT NOW)", "https://soundcloud.com/d-jahsta/d-jahsta-crucify?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "D-jahsta"
"Midnight Tyrannosaurus - Basement Bitches (OUT NOW!)", "https://soundcloud.com/midnightasaurus/midnight-tyrannosaurus-8?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Midnight Tyrannosaurus\u2122"
"Midnight Tyrannosaurus - H.A.L. (Uber Remix)[OUT NOW!]", "https://soundcloud.com/uburdub/midnight-tyrannosaurus-hal-uber-remix?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "UBUR"
"EIFFEL 65 - BLUE (PHISO, DEFKON & SUBJECT 31 REMIX) [FREEBIE]", "https://soundcloud.com/phiso/blue-remix?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Phiso"
"Tryple & Extra Terra - Ex Machina (Original Mix)", "https://soundcloud.com/the_tryple/exm?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "TRYPLE"
"\U0001f4a6 Leakr - Sippin' (Double Cup)", "https://soundcloud.com/leakr/sippin?in=spltpersonalty/sets/gargantuan-dirty-dubstep-beats", "Leakr \U0001f4a7"
