

Effin - Back Scratcher, https://soundcloud.com/effin/back-scratcher?in=spltpersonalty/sets/new-beginnings, Effin
RADAR, https://soundcloud.com/voltra/radar?in=spltpersonalty/sets/new-beginnings, voltra
JOOL - Lazy Cat, https://soundcloud.com/odiorecs/jool-lazy-cat?in=spltpersonalty/sets/new-beginnings, Odio Records
Gang Shit (Echo Drone Remix), https://soundcloud.com/echo-drone/gang-shit-echo-drone-remix?in=spltpersonalty/sets/new-beginnings, Echo Drone
Phonon - PolyRiddim (GAWM TRAP FLIP), https://soundcloud.com/gawmmusic/phono-polyriddim-gawm-trap-flip?in=spltpersonalty/sets/new-beginnings, GAWM
CHEE - VULTURES (TRIPPED BY TRYPLE), https://soundcloud.com/the_tryple/vultures-trip?in=spltpersonalty/sets/new-beginnings, TRYPLE
DVEIGHT - Gratz, https://soundcloud.com/echoescollective/dveight-gratz?in=spltpersonalty/sets/new-beginnings, Echoes Collective
AUTOMHATE - CONFLICT (EATER REMIX), https://soundcloud.com/eaterextras/automhate-conflict-eater-remix?in=spltpersonalty/sets/new-beginnings, Eater Extras
SVDDEN DEATH - RISE (Moore Kismet Reboot), https://soundcloud.com/moorekismet/rise-reboot?in=spltpersonalty/sets/new-beginnings, Moore Kismet
Chibs - Crust And Jelly (Xotix Remix), https://soundcloud.com/xotixmusic/chibs-crust-and-jelly-xotix-remix?in=spltpersonalty/sets/new-beginnings, Xotix
Oddprophet - Migraine (Mr. Fink Remix), https://soundcloud.com/mrfinkofficial/oddprophet-migraine-mr-fink-remix?in=spltpersonalty/sets/new-beginnings, Mr. Fink
HEKLER - LIAR, https://soundcloud.com/heklermusic/hekler-said-liar?in=spltpersonalty/sets/new-beginnings, HEKLER
Ablaze - Cyber Space, https://soundcloud.com/ablaz-ng/ablaze-cyber-space-1?in=spltpersonalty/sets/new-beginnings, Ablaze
Excision & Downlink - Resistance, https://soundcloud.com/excision/resistance?in=spltpersonalty/sets/new-beginnings, Excision
Apriskah and Lapsung - Penumbra, https://soundcloud.com/apriskah/apriskah-and-lapsung-penumbra?in=spltpersonalty/sets/new-beginnings, Apriskah
WAXY, https://soundcloud.com/locobottunes/waaaxy?in=spltpersonalty/sets/new-beginnings, LOCOBOT
Grove - Head Noise, https://soundcloud.com/melbournetrappack/grove-head-noise?in=spltpersonalty/sets/new-beginnings, MELBOURNE TRAP PACK
Kayzo & Calcium - Spin It Back, https://soundcloud.com/kayzo-music/kayzo-calcium-spin-it-back?in=spltpersonalty/sets/new-beginnings, KAYZO
RAY VOLPE x NVADRZ - TASTEMAKER, https://soundcloud.com/rayvolpemusic/tastemaker?in=spltpersonalty/sets/new-beginnings, RAY VOLPE \U0001f916
Nost - No Trust (FREE DL), https://soundcloud.com/nostdub/nost-no-trust-1?in=spltpersonalty/sets/new-beginnings, Nost
JOOL & Skrybe - Aquila, https://soundcloud.com/blacklabelnsd/jool-skrybe-aquila?in=spltpersonalty/sets/new-beginnings, Never Say Die Black Label
Migraine VIP, https://soundcloud.com/oddprophet/migraine-vip?in=spltpersonalty/sets/new-beginnings, Oddprophet
KaTT - [O011] Lilium Fate, https://soundcloud.com/kattimpala/katt-o011-lilium-fate?in=spltpersonalty/sets/new-beginnings, KaTT
Whales x The Arcturians x JOOL - She Can Never, https://soundcloud.com/circusrecords/cr355-whales-x-the-arcturians-x-jool-she-can-never?in=spltpersonalty/sets/new-beginnings, Circus Records Official
FREAKY & GAWM - Purple Sprite, https://soundcloud.com/freakyofficial/purplesprite1?in=spltpersonalty/sets/new-beginnings, FREAKY
Gladez - Overseas, https://soundcloud.com/itsgladez/gladez-overseas?in=spltpersonalty/sets/new-beginnings, GLADEZ
Dr. Ozi & Soltan - Mumbai Madness, https://soundcloud.com/neversaydie/dr-ozi-soltan-mumbai-madness?in=spltpersonalty/sets/new-beginnings, Never Say Die Records
Crankdat & Ruvlo - Blah Blah (FREE DOWNLOAD), https://soundcloud.com/disciple/blahblah?in=spltpersonalty/sets/new-beginnings, Disciple \u265b \u265c \u265e
Verdict, https://soundcloud.com/topisl/verdict?in=spltpersonalty/sets/new-beginnings, Topi
PIERCE x Rico Act - GUTTER, https://soundcloud.com/piercesounds/pierce-x-rico-act-gutter?in=spltpersonalty/sets/new-beginnings, PIERCE
Bahebe, https://soundcloud.com/dirtyaudio/bahebe?in=spltpersonalty/sets/new-beginnings, Dirty Audio
Zetta - Phat Rack, https://soundcloud.com/zettatunes/phat-rack?in=spltpersonalty/sets/new-beginnings, ZETTA
