JOOL & Skrybe - Aquila, https://soundcloud.com/blacklabelnsd/jool-skrybe-aquila?in=spltpersonalty/sets/song-of-the-week, Never Say Die Black Label
Dr. Ozi & Soltan - Mumbai Madness, https://soundcloud.com/neversaydie/dr-ozi-soltan-mumbai-madness?in=spltpersonalty/sets/song-of-the-week, Never Say Die Records
Whales x The Arcturians x JOOL - She Can Never, https://soundcloud.com/circusrecords/cr355-whales-x-the-arcturians-x-jool-she-can-never?in=spltpersonalty/sets/song-of-the-week, Circus Records Official
INQUISITION (VIP), https://soundcloud.com/evvde/inquisitionvip?in=spltpersonalty/sets/song-of-the-week, EVVDE
Herculez - Save Me, https://soundcloud.com/herculezmusic/saveme?in=spltpersonalty/sets/song-of-the-week, HERCULEZ
HelaSex - Vortex, https://soundcloud.com/helasex/helasex-vortex?in=spltpersonalty/sets/song-of-the-week, HelaSex
WAVEDASH & Shadient - Tung Tiied, https://soundcloud.com/shadient/wavedash-shadient-tung-tiied?in=spltpersonalty/sets/song-of-the-week, Shadient
The Brig - Pink Picture, https://soundcloud.com/mostaddictivemusic/the-brig-pink-picture?in=spltpersonalty/sets/song-of-the-week, MA Music
Herculez - Like The Rain Ft. Rod Azlan, https://soundcloud.com/discipleroundtable/liketherain?in=spltpersonalty/sets/song-of-the-week, Disciple Round Table
Oolacile - Infiniti, https://soundcloud.com/oolacile/infiniti?in=spltpersonalty/sets/song-of-the-week, Oolacile
BLM DUB, https://soundcloud.com/projecteleven/blm?in=spltpersonalty/sets/song-of-the-week, XI
Neonix - Dead Face, https://soundcloud.com/bassrush/neonix-dead-face?in=spltpersonalty/sets/song-of-the-week, Bassrush
Tiigers - How To Be A Savage, https://soundcloud.com/savagesocietyrecords/tiigers-how-to-be-a-savage?in=spltpersonalty/sets/song-of-the-week, Savage Society Records
Barely Alive - Odyssey VIP, https://soundcloud.com/disciple/odysseyvip?in=spltpersonalty/sets/song-of-the-week, Disciple \u265b \u265c \u265e
MOONBOY - Encounter, https://soundcloud.com/moonboy_music/mnboyencounter?in=spltpersonalty/sets/song-of-the-week, MOONBOY\U0001f319
Stay Feat. Katie Sky, https://soundcloud.com/frankynuts/franky-nuts-stay-feat-katie-sky?in=spltpersonalty/sets/song-of-the-week, FRANKY NUTS
Evolve To Destroy, https://soundcloud.com/nanoo-1/evolve-to-destroy?in=spltpersonalty/sets/song-of-the-week, Nanoo
GAWM - Silence, https://soundcloud.com/gawmmusic/gawm-silence?in=spltpersonalty/sets/song-of-the-week, GAWM
Duplex (with Voltra), https://soundcloud.com/moorekismet/duplex-53?in=spltpersonalty/sets/song-of-the-week, Moore Kismet
Flume - Rushing Back (AG Remix), https://soundcloud.com/whosag/flume-rushing-back-ag-remix?in=spltpersonalty/sets/song-of-the-week, AG
Habstrakt - Show Me (Cookie Monsta Remix), https://soundcloud.com/cookiemonstatc/habstrakt-show-me-cookie-monsta-remix?in=spltpersonalty/sets/song-of-the-week, cookiemonstatc
Eliminate - You're Gonna Love Me Ft. Leah Culver (MATT DOE & Fools Of Wisdom Remix), https://soundcloud.com/mattdoemusic/eliminate-youre-gonna-love-me-matt-doe-fools-of-wisdom-remix?in=spltpersonalty/sets/song-of-the-week, MATT DOE
DVEIGHT - SIEGE, https://soundcloud.com/syndicateaudio/dveight-siege?in=spltpersonalty/sets/song-of-the-week, Syndicate Audio
CHIBS - CRUST AND JELLY (CYBERTR0N REMIX) (WINNER), https://soundcloud.com/cybertr0nmusic/chibs-crust-and-jelly-cybertr0n-remix-1?in=spltpersonalty/sets/song-of-the-week, Cybertr0n
Samplifire - Duality, https://soundcloud.com/discipleroundtable/duality?in=spltpersonalty/sets/song-of-the-week, Disciple Round Table
Quar - Internet, https://soundcloud.com/rushdownrecs/quar-internet?in=spltpersonalty/sets/song-of-the-week, Rushdown
PIERCE - BIPOLAR, https://soundcloud.com/piercesounds/piercebipolar?in=spltpersonalty/sets/song-of-the-week, PIERCE
Psycho, https://soundcloud.com/itsydg/ydg-psycho?in=spltpersonalty/sets/song-of-the-week, YDG
Oddprophet - No More (JoeB Bootleg) [BUY = Free Download], https://soundcloud.com/joeb_uk/oddprophet-no-more-joeb-bootleg-buy-free-download?in=spltpersonalty/sets/song-of-the-week, JoeB
Effin - Cheese, https://soundcloud.com/effin/cheese?in=spltpersonalty/sets/song-of-the-week, Effin
RL Grime & Julez - Formula (Wyd! Flip), https://soundcloud.com/iitswyd/rl-grime-julez-formula-wyd-flip?in=spltpersonalty/sets/song-of-the-week, Wyd!
Explosive Lure, https://soundcloud.com/ravacholmusic/explosive-lure?in=spltpersonalty/sets/song-of-the-week, RAVACHOL
On My Mind, https://soundcloud.com/iamnasko/nasko-on-my-mind?in=spltpersonalty/sets/song-of-the-week, Nasko
